,alignment,condition,accuracy,sub,age,gender
287,misaligned,different,0.4,ACXXZ7,4.767123287671233,m
288,misaligned,different,0.8333333333333334,VLB4L4,5.671232876712328,f
289,misaligned,different,0.0,EQXFYM,5.095890410958904,m
290,misaligned,different,1.0,Z7CAJd,6.082191780821918,f
291,misaligned,different,1.0,7P6WGH,5.917808219178082,f
292,misaligned,different,0.5,GC34M3,4.602739726027397,f
293,misaligned,different,1.0,5QcHDS,4.3561643835616435,f
294,misaligned,different,0.5,4ST2Rd,4.684931506849315,m
295,misaligned,different,0.5,QLJ6L2,4.273972602739726,f
296,misaligned,different,0.0,VL6G4F,4.602739726027397,m
297,misaligned,different,1.0,CQNccL,5.013698630136986,f
298,misaligned,different,1.0,VARPcD,4.767123287671233,f
299,misaligned,different,0.6,A2VYCT,5.342465753424658,f
300,misaligned,different,1.0,cFUURR,6.410958904109589,f
301,misaligned,different,0.5,NESJTV,5.671232876712328,m
302,misaligned,different,0.8333333333333334,PKKXND,5.671232876712328,m
303,misaligned,different,1.0,5A3dF5,6.493150684931507,f
304,misaligned,different,0.8,QEENND,6.164383561643835,m
305,misaligned,different,0.2,RL5c27,5.095890410958904,o
306,misaligned,different,0.8333333333333334,6FBUKN,4.931506849315069,f
307,misaligned,different,1.0,NdcEQS,6.410958904109589,f
308,misaligned,different,1.0,ZFCGPB,6.986301369863014,f
309,misaligned,different,0.8333333333333334,HZD5P2,6.739726027397261,m
310,misaligned,different,0.8,LV7BXL,6.410958904109589,m
311,misaligned,different,0.8333333333333334,FQcUQT,5.506849315068493,m
312,misaligned,different,0.6666666666666666,VXA7XE,5.917808219178082,m
313,misaligned,different,0.0,2H7PLP,5.260273972602739,m
314,misaligned,different,1.0,TSZUY4,5.506849315068493,m
315,misaligned,different,1.0,JMTYZH,5.095890410958904,m
316,misaligned,different,0.4,BcD7QG,4.027397260273973,m
317,misaligned,different,0.6666666666666666,6RPUM7,4.273972602739726,m
318,misaligned,different,1.0,cdPUJD,5.589041095890411,m
319,misaligned,different,1.0,TQ5R7T,5.506849315068493,f
320,misaligned,different,0.8,4LVKMA,6.082191780821918,m
321,misaligned,different,0.8333333333333334,cHT4YU,6.2465753424657535,f
322,misaligned,different,1.0,JY6LQ2,6.164383561643835,f
323,misaligned,different,0.8333333333333334,U672B2,5.835616438356165,f
324,misaligned,different,0.0,WF4NVS,4.684931506849315,m
325,misaligned,different,1.0,FWYC7C,5.424657534246576,f
326,misaligned,different,0.3333333333333333,PB3BCS,4.767123287671233,f
327,misaligned,different,0.5,TNSEWV,4.767123287671233,m
328,misaligned,different,0.8333333333333334,V72TLK,6.739726027397261,f
329,misaligned,different,0.8,XV65MW,6.164383561643835,f
330,misaligned,different,0.3333333333333333,WWYcKQ,5.424657534246576,f
331,misaligned,different,0.8333333333333334,ZAMEDX,4.191780821917808,m
332,misaligned,different,1.0,QPRR32,6.904109589041096,f
333,misaligned,different,1.0,3W34dW,6.0,f
334,misaligned,different,0.8333333333333334,PHFCV3,5.342465753424658,f
335,misaligned,different,0.8,VFFF4H,4.191780821917808,m
336,misaligned,different,0.4,CJdTB6,4.3561643835616435,m
337,misaligned,different,0.8333333333333334,TV373M,6.657534246575342,m
338,misaligned,different,1.0,CRVCXD,6.986301369863014,m
339,misaligned,different,0.4,YPdQNV,4.109589041095891,f
340,misaligned,different,0.8333333333333334,7cNKKD,5.342465753424658,m
341,misaligned,different,0.3333333333333333,CZGRED,5.506849315068493,m
342,misaligned,different,0.8333333333333334,663UJX,6.986301369863014,f
343,misaligned,different,0.8333333333333334,KMGJCF,6.575342465753424,m
344,misaligned,different,0.4,FZLQ2Y,4.602739726027397,m
345,misaligned,different,1.0,33UX2S,5.7534246575342465,f
346,misaligned,different,0.4,H2VVXG,4.191780821917808,f
347,misaligned,different,0.5,F4AJSB,5.342465753424658,m
348,misaligned,different,0.6666666666666666,4UE4J2,5.506849315068493,m
349,misaligned,different,0.16666666666666666,ZTYVTW,4.027397260273973,f
