,alignment,condition,time_screen,sub,age,gender
247,aligned,same,5.250000000000001,F4LDT2,5.260273972602739,m
248,aligned,same,1.2220000000000002,c2JcAQ,4.931506849315069,m
249,aligned,same,3.308333333333333,34RM3G,6.575342465753424,m
250,aligned,same,1.9749999999999999,FKJTLd,4.191780821917808,m
251,aligned,same,1.2819999999999998,MX7YEJ,6.575342465753424,m
252,aligned,same,1.8341666666666665,XUS5CL,4.109589041095891,f
253,aligned,same,4.225833333333333,DH27SD,6.0,m
254,aligned,same,1.1099999999999999,KKY3TT,5.342465753424658,f
255,aligned,same,3.366666666666667,QE5J2H,5.424657534246576,m
256,aligned,same,3.8166666666666664,WScYBT,5.7534246575342465,m
257,aligned,same,3.190909090909091,VYHNXF,6.328767123287672,m
258,aligned,same,3.4909090909090916,RU4MYJ,4.438356164383562,m
259,aligned,same,3.245454545454545,BNRGKZ,5.260273972602739,f
260,aligned,same,1.9790909090909088,RRA4CB,5.506849315068493,f
261,aligned,same,3.6363636363636362,GYYNLD,4.3561643835616435,m
262,aligned,same,2.9899999999999998,RNCZJc,6.739726027397261,m
263,aligned,same,5.141666666666667,RP2HDS,6.904109589041096,f
264,aligned,same,5.241666666666666,EHHRXd,4.767123287671233,m
265,aligned,same,2.42,NTYN3N,5.095890410958904,f
266,misaligned,different,4.116666666666666,UX6XX6,4.931506849315069,m
267,misaligned,different,2.1300000000000003,ZFEcFW,4.191780821917808,f
268,misaligned,different,5.016666666666667,FMNR4U,4.602739726027397,f
269,misaligned,different,0.46499999999999986,QWFWAQ,6.904109589041096,f
270,misaligned,different,3.483333333333333,PHM3KT,5.835616438356165,f
271,misaligned,different,6.481999999999999,TMBc4N,4.931506849315069,m
272,misaligned,different,5.05,NRHSFK,5.506849315068493,m
273,misaligned,different,2.5000000000000004,BK45G2,4.767123287671233,m
274,misaligned,different,2.8000000000000003,ADUJcY,6.082191780821918,m
275,misaligned,different,2.3000000000000003,YdTJH7,5.424657534246576,f
276,misaligned,different,2.033333333333333,TKA647,4.109589041095891,m
277,misaligned,different,3.4019999999999997,JLCN7S,5.506849315068493,f
278,misaligned,different,2.0499999999999994,3R2CUC,5.835616438356165,f
279,misaligned,different,2.9166666666666665,LcYFQM,5.506849315068493,f
280,misaligned,different,11.457999999999998,BUR2PY,4.191780821917808,m
281,misaligned,different,4.47,EV5Z3R,5.671232876712328,m
282,misaligned,different,3.85,WKCNHd,5.260273972602739,m
283,misaligned,different,5.58,REMYW7,4.273972602739726,f
284,misaligned,different,3.7016666666666675,CVLEAG,4.8493150684931505,f
285,misaligned,different,3.3200000000000003,W7Y6C5,5.424657534246576,m
286,misaligned,different,9.833333333333332,KEEN74,5.589041095890411,m
287,misaligned,different,10.360000000000001,ACXXZ7,4.767123287671233,m
288,misaligned,different,2.9333333333333336,VLB4L4,5.671232876712328,f
289,misaligned,different,4.220000000000001,EQXFYM,5.095890410958904,m
290,misaligned,different,3.096666666666667,Z7CAJd,6.082191780821918,f
291,misaligned,different,0.74,7P6WGH,5.917808219178082,f
292,misaligned,different,2.6333333333333333,GC34M3,4.602739726027397,f
293,misaligned,different,3.9499999999999993,5QcHDS,4.3561643835616435,f
294,misaligned,different,1.9500000000000002,4ST2Rd,4.684931506849315,m
295,misaligned,different,10.25,QLJ6L2,4.273972602739726,f
296,misaligned,different,1.0999999999999999,VL6G4F,4.602739726027397,m
297,misaligned,different,2.6166666666666667,CQNccL,5.013698630136986,f
298,misaligned,different,5.616666666666666,VARPcD,4.767123287671233,f
299,misaligned,different,5.42,A2VYCT,5.342465753424658,f
300,misaligned,different,1.7666666666666664,cFUURR,6.410958904109589,f
301,misaligned,different,5.633333333333334,NESJTV,5.671232876712328,m
302,misaligned,different,4.516666666666667,PKKXND,5.671232876712328,m
303,misaligned,different,3.615,5A3dF5,6.493150684931507,f
304,misaligned,different,4.6419999999999995,QEENND,6.164383561643835,m
305,misaligned,different,17.3,RL5c27,5.095890410958904,o
306,misaligned,different,4.765000000000001,6FBUKN,4.931506849315069,f
307,misaligned,different,3.3166666666666664,NdcEQS,6.410958904109589,f
308,misaligned,different,3.6833333333333336,ZFCGPB,6.986301369863014,f
309,misaligned,different,2.5,HZD5P2,6.739726027397261,m
310,misaligned,different,2.5200000000000005,LV7BXL,6.410958904109589,m
311,misaligned,different,2.266666666666667,FQcUQT,5.506849315068493,m
312,misaligned,different,1.0333333333333332,VXA7XE,5.917808219178082,m
313,misaligned,different,4.4,2H7PLP,5.260273972602739,m
314,misaligned,different,6.948333333333333,TSZUY4,5.506849315068493,m
315,misaligned,different,1.2833333333333332,JMTYZH,5.095890410958904,m
316,misaligned,different,1.46,BcD7QG,4.027397260273973,m
317,misaligned,different,6.3,6RPUM7,4.273972602739726,m
318,misaligned,different,2.8499999999999996,cdPUJD,5.589041095890411,m
319,misaligned,different,7.62,TQ5R7T,5.506849315068493,f
320,misaligned,different,5.0,4LVKMA,6.082191780821918,m
321,misaligned,different,9.466666666666667,cHT4YU,6.2465753424657535,f
322,misaligned,different,2.35,JY6LQ2,6.164383561643835,f
